2026-03-16 15:12:11 | DEBUG    | PortScan             | Port  6379 — closed / filtered
2026-03-16 15:12:11 | INFO     | PortScan             | Scan complete — 1 open port(s) found out of 8 probed
2026-03-16 15:12:11 | INFO     | PortScan             | ============================================================
2026-03-16 15:12:11 | INFO     | PortScan             |   SIMULATION SUMMARY — PortScan
2026-03-16 15:12:11 | INFO     | PortScan             | ============================================================
2026-03-16 15:12:11 | INFO     | PortScan             |   Target         : 127.0.0.1:80
2026-03-16 15:12:11 | INFO     | PortScan             |   Duration       : 14.19 s
2026-03-16 15:12:11 | INFO     | PortScan             |   Packets sent   : 8
2026-03-16 15:12:11 | INFO     | PortScan             |   Connections    : 8
2026-03-16 15:12:11 | INFO     | PortScan             |   Bytes sent     : 0
2026-03-16 15:12:11 | INFO     | PortScan             |   Errors         : 0
2026-03-16 15:12:11 | INFO     | PortScan             | ============================================================
2026-03-16 15:12:29 | INFO     | PortScan             | Starting FAST port scan on 127.0.0.1  |  ports: 8  |  speed: fast
2026-03-16 15:12:31 | DEBUG    | PortScan             | Port    22 — closed / filtered
2026-03-16 15:12:33 | DEBUG    | PortScan             | Port    80 — closed / filtered
2026-03-16 15:12:35 | DEBUG    | PortScan             | Port   443 — closed / filtered
2026-03-16 15:12:37 | DEBUG    | PortScan             | Port  8080 — closed / filtered
2026-03-16 15:12:39 | DEBUG    | PortScan             | Port  8443 — closed / filtered
2026-03-16 15:12:41 | DEBUG    | PortScan             | Port  3306 — closed / filtered
2026-03-16 15:12:41 | INFO     | PortScan             | Port  5432 — OPEN
2026-03-16 15:12:43 | DEBUG    | PortScan             | Port  6379 — closed / filtered
2026-03-16 15:12:43 | INFO     | PortScan             | Scan complete — 1 open port(s) found out of 8 probed
2026-03-16 15:12:43 | INFO     | PortScan             | ============================================================
2026-03-16 15:12:43 | INFO     | PortScan             |   SIMULATION SUMMARY — PortScan
2026-03-16 15:12:43 | INFO     | PortScan             | ============================================================
2026-03-16 15:12:43 | INFO     | PortScan             |   Target         : 127.0.0.1:80
2026-03-16 15:12:43 | INFO     | PortScan             |   Duration       : 14.25 s
2026-03-16 15:12:43 | INFO     | PortScan             |   Packets sent   : 8
2026-03-16 15:12:43 | INFO     | PortScan             |   Connections    : 8
2026-03-16 15:12:43 | INFO     | PortScan             |   Bytes sent     : 0
2026-03-16 15:12:43 | INFO     | PortScan             |   Errors         : 0
2026-03-16 15:12:43 | INFO     | PortScan             | ============================================================
2026-03-16 15:13:00 | INFO     | PortScan             | Starting FAST port scan on 127.0.0.1  |  ports: 8  |  speed: fast
2026-03-16 15:13:02 | DEBUG    | PortScan             | Port    22 — closed / filtered
2026-03-16 15:13:04 | DEBUG    | PortScan             | Port    80 — closed / filtered
2026-03-16 15:13:06 | DEBUG    | PortScan             | Port   443 — closed / filtered
2026-03-16 15:13:08 | DEBUG    | PortScan             | Port  8080 — closed / filtered
2026-03-16 15:13:10 | DEBUG    | PortScan             | Port  8443 — closed / filtered
2026-03-16 15:13:12 | DEBUG    | PortScan             | Port  3306 — closed / filtered
2026-03-16 15:13:12 | INFO     | PortScan             | Port  5432 — OPEN
2026-03-16 15:13:14 | DEBUG    | PortScan             | Port  6379 — closed / filtered
2026-03-16 15:13:14 | INFO     | PortScan             | Scan complete — 1 open port(s) found out of 8 probed
2026-03-16 15:13:14 | INFO     | PortScan             | ============================================================
2026-03-16 15:13:14 | INFO     | PortScan             |   SIMULATION SUMMARY — PortScan
2026-03-16 15:13:14 | INFO     | PortScan             | ============================================================
2026-03-16 15:13:14 | INFO     | PortScan             |   Target         : 127.0.0.1:80
2026-03-16 15:13:14 | INFO     | PortScan             |   Duration       : 14.18 s
2026-03-16 15:13:14 | INFO     | PortScan             |   Packets sent   : 8
2026-03-16 15:13:14 | INFO     | PortScan             |   Connections    : 8
2026-03-16 15:13:14 | INFO     | PortScan             |   Bytes sent     : 0
2026-03-16 15:13:14 | INFO     | PortScan             |   Errors         : 0
2026-03-16 15:13:14 | INFO     | PortScan             | ============================================================
2026-03-16 15:13:30 | INFO     | PortScan             | Starting FAST port scan on 127.0.0.1  |  ports: 8  |  speed: fast
2026-03-16 15:13:32 | DEBUG    | PortScan             | Port    22 — closed / filtered
2026-03-16 15:13:34 | DEBUG    | PortScan             | Port    80 — closed / filtered
2026-03-16 15:13:36 | DEBUG    | PortScan             | Port   443 — closed / filtered
2026-03-16 15:13:38 | DEBUG    | PortScan             | Port  8080 — closed / filtered
2026-03-16 15:13:41 | DEBUG    | PortScan             | Port  8443 — closed / filtered
2026-03-16 15:13:43 | DEBUG    | PortScan             | Port  3306 — closed / filtered
2026-03-16 15:13:43 | INFO     | PortScan             | Port  5432 — OPEN
2026-03-16 15:13:45 | DEBUG    | PortScan             | Port  6379 — closed / filtered
2026-03-16 15:13:45 | INFO     | PortScan             | Scan complete — 1 open port(s) found out of 8 probed
2026-03-16 15:13:45 | INFO     | PortScan             | ============================================================
2026-03-16 15:13:45 | INFO     | PortScan             |   SIMULATION SUMMARY — PortScan
2026-03-16 15:13:45 | INFO     | PortScan             | ============================================================
2026-03-16 15:13:45 | INFO     | PortScan             |   Target         : 127.0.0.1:80
2026-03-16 15:13:45 | INFO     | PortScan             |   Duration       : 14.15 s
2026-03-16 15:13:45 | INFO     | PortScan             |   Packets sent   : 8
2026-03-16 15:13:45 | INFO     | PortScan             |   Connections    : 8
2026-03-16 15:13:45 | INFO     | PortScan             |   Bytes sent     : 0
2026-03-16 15:13:45 | INFO     | PortScan             |   Errors         : 0
2026-03-16 15:13:45 | INFO     | PortScan             | ============================================================
2026-03-16 15:14:02 | INFO     | PortScan             | Starting FAST port scan on 127.0.0.1  |  ports: 8  |  speed: fast
2026-03-16 15:14:04 | DEBUG    | PortScan             | Port    22 — closed / filtered
2026-03-16 15:14:06 | DEBUG    | PortScan             | Port    80 — closed / filtered
2026-03-16 15:14:08 | DEBUG    | PortScan             | Port   443 — closed / filtered
2026-03-16 15:14:10 | DEBUG    | PortScan             | Port  8080 — closed / filtered
2026-03-16 15:14:12 | DEBUG    | PortScan             | Port  8443 — closed / filtered
2026-03-16 15:14:14 | DEBUG    | PortScan             | Port  3306 — closed / filtered
2026-03-16 15:14:14 | INFO     | PortScan             | Port  5432 — OPEN
2026-03-16 15:14:16 | DEBUG    | PortScan             | Port  6379 — closed / filtered
2026-03-16 15:14:16 | INFO     | PortScan             | Scan complete — 1 open port(s) found out of 8 probed
2026-03-16 15:14:16 | INFO     | PortScan             | ============================================================
2026-03-16 15:14:16 | INFO     | PortScan             |   SIMULATION SUMMARY — PortScan
2026-03-16 15:14:16 | INFO     | PortScan             | ============================================================
2026-03-16 15:14:16 | INFO     | PortScan             |   Target         : 127.0.0.1:80
2026-03-16 15:14:16 | INFO     | PortScan             |   Duration       : 14.17 s
2026-03-16 15:14:16 | INFO     | PortScan             |   Packets sent   : 8
2026-03-16 15:14:16 | INFO     | PortScan             |   Connections    : 8
2026-03-16 15:14:16 | INFO     | PortScan             |   Bytes sent     : 0
2026-03-16 15:14:16 | INFO     | PortScan             |   Errors         : 0
2026-03-16 15:14:16 | INFO     | PortScan             | ============================================================
2026-03-16 17:32:14 | INFO     | BruteForce           | Starting brute-force against 127.0.0.1  |  username: admin  |  wordlist: 49 entries
2026-03-16 17:32:16 | DEBUG    | BruteForce           | Connection error: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
2026-03-16 17:32:19 | DEBUG    | BruteForce           | Connection error: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
2026-03-16 17:32:21 | DEBUG    | BruteForce           | Connection error: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
2026-03-16 17:32:23 | DEBUG    | BruteForce           | Connection error: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
2026-03-16 17:32:26 | DEBUG    | BruteForce           | Connection error: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
2026-03-16 17:32:28 | DEBUG    | BruteForce           | Connection error: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
2026-03-16 17:32:30 | DEBUG    | BruteForce           | Connection error: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
2026-03-16 17:32:30 | INFO     | BruteForce           | Stopping early (stopped=False, timeout=True)
2026-03-16 17:32:30 | INFO     | BruteForce           | Brute-force complete — 7 attempt(s), 0 possible hit(s)
2026-03-16 17:32:30 | INFO     | BruteForce           | ============================================================
2026-03-16 17:32:30 | INFO     | BruteForce           |   SIMULATION SUMMARY — BruteForce
2026-03-16 17:32:30 | INFO     | BruteForce           | ============================================================
2026-03-16 17:32:30 | INFO     | BruteForce           |   Target         : 127.0.0.1:80
2026-03-16 17:32:30 | INFO     | BruteForce           |   Duration       : 16.03 s
2026-03-16 17:32:30 | INFO     | BruteForce           |   Packets sent   : 7
2026-03-16 17:32:30 | INFO     | BruteForce           |   Connections    : 7
2026-03-16 17:32:30 | INFO     | BruteForce           |   Bytes sent     : 0
2026-03-16 17:32:30 | INFO     | BruteForce           |   Errors         : 7
2026-03-16 17:32:30 | INFO     | BruteForce           | ============================================================
